uniprot_id	bulk_abundance	new_single_cell_F1	new_single_cell_F3	new_single_cell_F5	new_single_cell_F7	new_single_cell_F9	new_single_cell_F11	new_single_cell_F13	new_single_cell_F15	new_single_cell_F17	new_single_cell_F19	old_single_cell_F3	old_single_cell_F4	old_single_cell_F5	query_id	score
A0A087WUQ6	108274.778609359	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUQ6	0.0
A0A087WUR6	181119.720276869	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUR6	0.0
A0A087WUT6	424634.392959207	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUT6	2.0
A0A087WUV0	1899.06688120008	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUV0	2.0
A0A087WUV8	862929.730030798	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUV8	2.0
A0A087WUW6	150529.333208026	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUW6	1.0
A0A087WUY7	456.542537484553	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUY7	1.0
A0A087WV25	124018.815294904	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WV25	2.0
A0A087WV43	58907.7863852048	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WV43	0.0
A0A087WV66	139624.746395488	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WV66	0.0
A0A087WVD1	5230.81388568198	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVD1	1.0
A0A087WVF1	3936.81478729841	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVF1	1.0
A0A087WVF4	6932.2315581838	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVF4	1.0
A0A087WVG3	2200.79296378563	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVG3	0.0
A0A087WVK1	491221.210127791	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVK1	1.0
A0A087WVP4	689.261956942445	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVP4	1.0
A0A087WVQ6	2868222.82366332	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVQ6	3.0
A0A087WVS8	6516.71297907956	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVS8	0.0
A0A087WVT2	5046.36546800653	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVT2	0.0
A0A087WVX6	1363907.73947652	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVX6	1.0
A0A087WVY3	510455.505213671	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVY3	1.0
A0A087WVZ0	382299.276769312	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WVZ0	2.0
A0A087WW40	252439.746110437	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW40	3.0
A0A087WW43	2494.72593457403	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW43	1.0
A0A087WW51	1104672.04770614	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW51	1.0
A0A087WW53	741684.535233862	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW53	2.0
